ChLabel	X3	Y3	Z3	X2	Y2
'E104'	-6.09726	-5.6109	-4.67894	-0.796183547	-0.796227945
'E105'	-6.31441	-6.01299	-3.25921	-0.74394865	-0.765777895
'E106'	-5.98418	-6.74733	-1.40314	-0.654071896	-0.790680715
'E107'	-5.23709	-7.57398	0.46627	-0.542829147	-0.835496821
'E108'	-4.29098	-8.11323	2.38442	-0.429341373	-0.860480766
'E109'	-3.24277	-8.15293	4.22025	-0.314802463	-0.83872023
'E110'	-1.73181	-7.6385	5.6936	-0.168504401	-0.790578618
'E111'	-5.6358	-5.80367	-7.74857	-0.845787449	-0.944021434
'E112'	-5.38718	-6.4518	-6.16689	-0.727293998	-0.93672931
'E113'	-5.08285	-7.32643	-4.32109	-0.599716768	-0.92185783
'E114'	-5.27282	-7.46584	-2.87485	-0.581944993	-0.877697482
'E115'	-4.1362	-8.6123	-1.04503	-0.42308063	-0.930711921
'E116'	-3.13323	-9.13629	0.81878	-0.307532085	-0.944513547
'E117'	-1.94503	-9.23415	2.62135	-0.18790271	-0.93909814
'E118'	-1.09312	-8.7411	4.1381	-0.105897286	-0.893953981
'E119'	0	-8.09146	5.34087	5.10E-17	-0.832986175
'E120'	-4.70608	-7.2197	-7.52955	-0.644679827	-1.055689792
'E121'	-4.20415	-7.81153	-5.84368	-0.523644906	-1.033580122
'E122'	-3.62234	-8.59338	-4.04243	-0.401766253	-1.007103065
'E123'	-3.02717	-9.45363	-1.95941	-0.300554664	-0.986932529
'E124'	-2.20152	-9.70916	-0.63755	-0.215356392	-0.997376186
'E125'	-1.01682	-9.71656	0.95467	-0.098363656	-0.98702814
'E126'	0	-9.23206	2.54671	5.87E-17	-0.958149199
'E127'	1.09312	-8.7411	4.1381	0.105897286	-0.893953981
'E128'	1.73181	-7.6385	5.6936	0.168504401	-0.790578618
'E129'	2.14874	-6.2919	7.11453	0.208321014	-0.657187388
'E130'	2.29514	-4.87829	8.27223	0.220325963	-0.515021562
'E131'	2.23647	-2.95809	8.92461	0.220348216	-0.339397949
'E132'	1.99458	-0.60998	9.2887	0.201256731	-0.110656997
'E133'	-3.45625	-8.57317	-6.82654	-0.423496855	-1.110112535
'E134'	-2.71528	-8.94646	-5.55376	-0.314290574	-1.09187755
